show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,,Movie/Show 1,,Actor 3,United Kingdom,"September 9, 2019",2007,R,120 min,Horror Movies,Description 1
s2,Movie,Movie/Show 2,Director 4,Actor 6,Canada,"December 31, 2020",2002,R,95 min,Action & Adventure,Description 2
s3,Movie,Movie/Show 3,,Actor 6,United Kingdom,,2008,,2 Seasons,Comedies,Description 3
s4,,Movie/Show 4,,Actor 5,Canada,"December 31, 2020",2011,R,90 min,Documentaries,Description 4
s5,TV Show,Movie/Show 5,,,United Kingdom,,2007,R,100 min,Dramas,Description 5
s6,Movie,Movie/Show 6,Director 2,Actor 5,,"December 31, 2020",2001,TV-14,90 min,Dramas,Description 6
s7,Movie,Movie/Show 7,,"Actor 1, Actor 2",India,,2021,TV-14,95 min,Action & Adventure,Description 7
s8,Movie,Movie/Show 8,Director 4,Actor 6,Canada,"March 5, 2018",2006,R,2 Seasons,Documentaries,Description 8
s9,,Movie/Show 9,Director 4,"Actor 1, Actor 2",Canada,"December 31, 2020",2016,,95 min,Documentaries,Description 9
s10,Movie,Movie/Show 10,Director 4,Actor 6,,"July 15, 2020",2011,PG-13,120 min,Comedies,Description 10
s11,,Movie/Show 11,Director 3,,India,"September 9, 2019",2012,,120 min,Comedies,Description 11
s12,,Movie/Show 12,,Actor 3,United Kingdom,"December 31, 2020",2015,,120 min,Dramas,Description 12
s13,,Movie/Show 13,Director 4,,Canada,"September 9, 2019",2014,PG-13,95 min,Dramas,Description 13
s14,Movie,Movie/Show 14,Director 3,Actor 5,India,,2001,TV-14,120 min,Dramas,Description 14
s15,,Movie/Show 15,,Actor 5,United Kingdom,,2001,,95 min,Dramas,Description 15
s16,TV Show,Movie/Show 16,,"Actor 1, Actor 2",Canada,,2020,R,95 min,Documentaries,Description 16
s17,Movie,Movie/Show 17,Director 1,"Actor 1, Actor 2",Canada,,2010,R,2 Seasons,Dramas,Description 17
s18,Movie,Movie/Show 18,,Actor 5,United Kingdom,,2003,TV-14,100 min,Comedies,Description 18
s19,Movie,Movie/Show 19,Director 1,Actor 5,,"March 5, 2018",2022,TV-14,90 min,Documentaries,Description 19
s20,Movie,Movie/Show 20,Director 2,Actor 5,India,"September 9, 2019",2016,TV-14,100 min,Horror Movies,Description 20
s21,Movie,Movie/Show 21,Director 2,Actor 6,Canada,"December 31, 2020",2020,TV-MA,90 min,Action & Adventure,Description 21
s22,,Movie/Show 22,Director 3,,United Kingdom,"March 5, 2018",2008,TV-MA,90 min,Comedies,Description 22
s23,,Movie/Show 23,Director 1,Actor 6,Canada,"March 5, 2018",2008,R,95 min,Action & Adventure,Description 23
s24,Movie,Movie/Show 24,Director 2,Actor 3,United Kingdom,"March 5, 2018",2018,,120 min,Horror Movies,Description 24
s25,,Movie/Show 25,Director 2,Actor 6,Canada,"March 5, 2018",2017,TV-MA,120 min,Horror Movies,Description 25
s26,Movie,Movie/Show 26,Director 2,Actor 5,United States,"March 5, 2018",2018,,120 min,Dramas,Description 26
s27,,Movie/Show 27,,Actor 6,,"September 9, 2019",2005,PG-13,100 min,Dramas,Description 27
s28,,Movie/Show 28,Director 1,"Actor 1, Actor 2",India,"December 31, 2020",2012,R,120 min,Horror Movies,Description 28
s29,,Movie/Show 29,Director 2,Actor 5,,"September 9, 2019",2020,TV-MA,2 Seasons,Documentaries,Description 29
s30,,Movie/Show 30,Director 1,,,"December 31, 2020",2012,R,95 min,Documentaries,Description 30
s31,TV Show,Movie/Show 31,Director 4,Actor 6,India,"March 5, 2018",2011,PG-13,120 min,Comedies,Description 31
s32,Movie,Movie/Show 32,Director 4,Actor 5,,"March 5, 2018",2018,PG-13,120 min,Action & Adventure,Description 32
s33,TV Show,Movie/Show 33,,"Actor 1, Actor 2",United States,,2020,R,120 min,Documentaries,Description 33
s34,,Movie/Show 34,Director 4,"Actor 1, Actor 2",United Kingdom,"July 15, 2020",2002,TV-MA,100 min,Documentaries,Description 34
s35,TV Show,Movie/Show 35,Director 3,Actor 6,India,"July 15, 2020",2016,R,95 min,Horror Movies,Description 35
s36,Movie,Movie/Show 36,Director 1,Actor 5,United Kingdom,"September 9, 2019",2008,,2 Seasons,Action & Adventure,Description 36
s37,Movie,Movie/Show 37,Director 2,,Canada,"September 9, 2019",2012,,120 min,Horror Movies,Description 37
s38,,Movie/Show 38,Director 3,Actor 3,United States,"December 31, 2020",2007,,90 min,Action & Adventure,Description 38
s39,TV Show,Movie/Show 39,Director 3,"Actor 1, Actor 2",United Kingdom,,2016,,100 min,Horror Movies,Description 39
s40,TV Show,Movie/Show 40,Director 4,Actor 3,United Kingdom,"December 31, 2020",2012,,120 min,Horror Movies,Description 40
s41,TV Show,Movie/Show 41,Director 1,,India,,2011,PG-13,120 min,Dramas,Description 41
s42,Movie,Movie/Show 42,Director 2,Actor 6,Canada,"July 15, 2020",2011,TV-MA,100 min,Dramas,Description 42
s43,Movie,Movie/Show 43,Director 3,"Actor 1, Actor 2",India,"July 15, 2020",2015,TV-MA,2 Seasons,Documentaries,Description 43
